DB Version,Assembly Accession,Chromosome/Plasmid Name,Chromosome/Plasmid Xref,PGD Gene ID,Locus Tag,Feature Type,Start,End,Strand,Gene Name,Gene synonyns,Product Name,Product Name Confidence Class,Product Synonyms,RefSeq Accession,Length (nucleotides),Length (amino acids),Molecular Weight (predicted),Isoelectric Point (predicted),Subcellular Localization [Confidence Class]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103209,PA0237,CDS,267638,268681,+,,,probable oxidoreductase,Class 3,,NP_248928.1 ; WP_003112678.1,1044,348,37.5,7.09,Periplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103211,PA0238,CDS,268704,269519,+,,,hypothetical protein,Class 4,,NP_248929.1 ; WP_003084082.1,816,272,29.7,5.25,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103213,PA0239,CDS,269669,270547,+,,,hypothetical protein,Class 4,,NP_248930.1 ; WP_003101866.1,879,293,31.3,10.58,Cytoplasmic Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103215,PA0240,CDS,270573,271838,-,,opdF,probable porin,Class 3,,NP_248931.1 ; WP_003101864.1,1266,422,46.1,8.24,Outer Membrane [Class 2] ; Outer Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103217,PA0241,CDS,271904,273229,-,,,probable major facilitator superfamily (MFS) transporter,Class 3,probable MFS transporter,NP_248932.1 ; WP_003101861.1,1326,442,48.7,9.97,Cytoplasmic Membrane [Class 2] ; Cytoplasmic Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103219,PA0242,CDS,273775,275679,+,,,hypothetical protein,Class 4,,NP_248933.1 ; WP_003112679.1,1905,635,70.2,4.82,Cytoplasmic [Class 2] ; Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103221,PA0243,CDS,275772,276440,+,,,probable transcriptional regulator,Class 3,,NP_248934.1 ; WP_003101858.1,669,223,25.3,9.48,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103223,PA0244,CDS,276480,277334,-,,,hypothetical protein,Class 4,,NP_248935.1 ; WP_003112680.1,855,285,29.7,5.12,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103225,PA0245,CDS,277331,277777,-,aroQ2,aroD2,3-dehydroquinate dehydratase,Class 2,dehydroquinase,NP_248936.1 ; WP_003106162.1,447,149,16.3,6.88,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103227,PA0246,CDS,277894,279399,-,,,probable major facilitator superfamily (MFS) transporter,Class 3,probable MFS transporter,NP_248937.1 ; WP_003115723.1,1506,502,52.4,9.31,Cytoplasmic Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103229,PA0247,CDS,279574,280758,-,pobA,,p-hydroxybenzoate hydroxylase,Class 1,,NP_248938.1 ; WP_003112685.1,1185,395,44.3,6.8,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103231,PA0248,CDS,280936,281802,+,,pobR,probable transcriptional regulator,Class 3,,NP_248939.1 ; WP_003084097.1,867,289,32.4,8.99,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103233,PA0249,CDS,281799,282245,-,,,probable acetyltransferase,Class 3,,NP_248940.1 ; WP_003084100.1,447,149,16.3,6.68,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103235,PA0250,CDS,282323,282757,-,,,conserved hypothetical protein,Class 4,,NP_248941.1 ; WP_003112686.1,435,145,15.7,5.66,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103237,PA0251,CDS,282912,283553,-,,,hypothetical protein,Class 4,,NP_248942.1 ; WP_003112687.1,642,214,24.2,6.45,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103239,PA0252,CDS,283818,284105,-,,,hypothetical protein,Class 4,,NP_248943.1 ; WP_003123838.1,288,96,10.8,8.51,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103241,PA0253,CDS,284197,284673,-,hudR,,HudR,Class 1,HudR,NP_248944.1 ; WP_003121665.1,477,159,17.4,6.81,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103243,PA0254,CDS,284714,286204,-,hudA,ubiD,HudA,Class 1,HudA,NP_248945.1 ; WP_003115722.1,1491,497,54.5,6.35,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103245,PA0255,CDS,286338,287024,-,,,conserved hypothetical protein,Class 4,,NP_248946.1 ; WP_003106170.1,687,229,23.9,12.03,Cytoplasmic Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103247,PA0256,CDS,287188,288120,-,,,hypothetical protein,Class 4,,NP_248947.1 ; WP_003084116.1,933,311,33.5,5.09,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103249,PA0257,CDS,288384,289175,-,,,hypothetical protein,Class 4,,NP_248948.1 ; WP_004346778.1,792,264,30.6,10.82,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103251,PA0258,CDS,289205,289390,-,,,hypothetical protein,Class 4,,NP_248949.1 ; WP_003112693.1,186,62,7.1,9.76,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103253,PA0259,CDS,289562,291154,-,tla3,tli3,"Type 6 lipase adaptor, Tla3",Class 1,"Tli3 ; Type 6 lipase adaptor, Tla3",NP_248950.1 ; WP_010895500.1,1443,481,52.4,5.02,Cytoplasmic [Class 1] ; Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103255,PA0260,CDS,291154,293304,-,tle3,,"Type 6 lipase effector, Tle3",Class 1,"Tle3 ; Type 6 lipase effector, Tle3",NP_248951.1 ; WP_003112695.1,2151,717,78.2,6.96,Periplasmic [Class 1] ; Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103257,PA0261,CDS,293301,293798,-,tli3,,"Type 6 lipase immunity, Tli3",Class 1,"Type 6 lipase immunity, Tli3",NP_248952.1 ; WP_003112696.1,498,166,18.4,8.13,Periplasmic [Class 1] ; Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103259,PA0262,CDS,293802,296861,-,vgrG2b,,VgrG2b,Class 1,VgrG2b,NP_248953.1 ; WP_003147109.1,3060,1020,113,6.16,Host Associated [Class 1] ; Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103261,PA0263,CDS,297043,297561,-,hcpC,,secreted protein Hcp,Class 2,,NP_248954.1 ; WP_003083317.1,519,173,19.1,5.76,Extracellular [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103263,PA0263.1,tRNA,298816,298892,-,,,tRNA-Arg,Class 2,,,77,,,,
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103265,PA0264,CDS,299081,299497,-,,,hypothetical protein,Class 4,,NP_248955 ; WP_010895501.1,417,139,14.1,11.58,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103267,PA0265,CDS,299522,300973,+,davD,gabD,glutaric semialdehyde dehydrogenase,Class 2,glutaric semialdehyde dehydrogenase ; succinate-semialdehyde dehydrogenase,NP_248956.1 ; WP_003106269.1,1452,484,51.6,5.43,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103269,PA0266,CDS,301218,302498,+,davT,gabT,delta-aminovalerate aminotransferase,Class 2,gabA transaminase ; delta-aminovalerate aminotransferase ; 4-aminobutyrate aminotransferase,NP_248957.1 ; WP_003106268.1,1281,427,45.2,6.43,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103271,PA0267,CDS,302824,304023,+,,,hypothetical protein,Class 4,,NP_248958.1 ; WP_003112926.1,1200,400,43.3,5.36,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103273,PA0268,CDS,304177,305598,-,,,probable transcriptional regulator,Class 3,,NP_248959.1 ; WP_003106262.1,1422,474,53.3,9.03,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103275,PA0269,CDS,305725,306162,+,,,conserved hypothetical protein,Class 4,,NP_248960.1 ; WP_003106260.1,438,146,16.2,5.25,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103277,PA0270,CDS,306174,306581,+,,,hypothetical protein,Class 4,,NP_248961.1 ; WP_003112927.1,408,136,14.6,6.89,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103279,PA0271,CDS,306615,306899,+,,,hypothetical protein,Class 4,,NP_248962.1 ; WP_003106257.1,285,95,10.6,4.4,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103281,PA0272,CDS,306896,307828,-,,,probable transcriptional regulator,Class 3,,NP_248963.1 ; WP_003112928.1,933,311,34.9,6.73,Cytoplasmic [Class 2] ; Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103283,PA0273,CDS,307878,309092,-,,,probable major facilitator superfamily (MFS) transporter,Class 3,probable MFS transporter,NP_248964.1 ; WP_003112929.1,1215,405,42.2,10.84,Cytoplasmic Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103285,PA0274,CDS,309255,310025,-,,,hypothetical protein,Class 4,,NP_248965.1 ; WP_003112930.1,771,257,28.5,8.79,Outer Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103287,PA0275,CDS,310134,310820,-,,,probable transcriptional regulator,Class 3,,NP_248966.1 ; WP_003107720.1,687,229,25.5,6.96,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103289,PA0276,CDS,310896,311411,+,,,hypothetical protein,Class 4,,NP_248967.1 ; WP_003107722.1,516,172,18.6,9.52,Cytoplasmic Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103291,PA0277,CDS,311451,312209,-,,,conserved hypothetical protein,Class 4,,NP_248968.1 ; WP_003112931.1,759,253,26.6,6.51,Outer Membrane Vesicle [Class 1] ; Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103293,PA0278,CDS,312381,313133,-,,,hypothetical protein,Class 4,,NP_248969.1 ; WP_003112932.1,753,251,25.8,9.95,Cytoplasmic Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103295,PA0279,CDS,313227,313925,+,,ydfF,probable transcriptional regulator,Class 3,,NP_248970.1 ; WP_003112933.1,699,233,24.4,10.38,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103297,PA0280,CDS,313938,314927,-,cysA,,sulfate transport protein CysA,Class 2,,NP_248971.1 ; WP_003084237.1,990,330,36.8,6.1,Cytoplasmic Membrane [Class 2] ; Cytoplasmic Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103299,PA0281,CDS,314931,315800,-,cysW,,sulfate transport protein CysW,Class 2,,NP_248972.1 ; WP_003084239.1,870,290,31.3,6.01,Cytoplasmic Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103301,PA0282,CDS,315811,316629,-,cysT,,sulfate transport protein CysT,Class 2,,NP_248973.1 ; WP_003084241.1,819,273,29.3,9.56,Cytoplasmic Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103303,PA0283,CDS,316791,317789,-,sbp,,sulfate-binding protein precursor,Class 2,sulfate starvation-induced protein 2,NP_248974.1 ; WP_003084243.1,999,333,36.4,9,Periplasmic [Class 2] ; Periplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103305,PA0284,CDS,317966,318148,-,,,hypothetical protein,Class 4,,NP_248975.1 ; WP_003084246.1,183,61,6.7,10.47,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103307,PA0285,CDS,318312,320594,-,,,conserved hypothetical protein,Class 4,,NP_248976.1 ; WP_003084250.1,2283,761,86.4,6.31,Cytoplasmic Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103309,PA0286,CDS,320766,321944,+,desA,,"delta-9 fatty acid desaturase, DesA",Class 1,"delta-9 fatty acid desaturase, DesA ",NP_248977.1 ; WP_003104496.1,1179,393,44.9,10.14,Cytoplasmic Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103311,PA0287,CDS,322175,323560,+,gpuP,speB1,3-guanidinopropionate transport protein,Class 1,3-guanidinopropionate transport protein,NP_248978.1 ; WP_003104497.1,1386,462,48.5,8.83,Cytoplasmic Membrane [Class 2] ; Cytoplasmic Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103313,PA0288,CDS,323616,324572,+,gpuA,,3-guanidinopropionase,Class 1,"proclavaminic acid amidino hydrolase, PAH ; proclavaminate amidino hydrolase ; AUH ; agmatine ureohydrolase ; 3-guanidinopropionase",NP_248979.1 ; WP_003112934.1,957,319,34.2,5.18,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103315,PA0289,CDS,324625,325587,+,gpuR,,transcriptional activator GpuR,Class 1,transcriptional activator GpuR,NP_248980.1 ; WP_010895502.1,963,321,35.9,7.13,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103317,PA0290,CDS,325700,326671,+,,,hypothetical protein,Class 4,,NP_248981.1 ; WP_003104500.1,972,324,36.4,4.7,Cytoplasmic Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103319,PA0291,CDS,327284,328666,+,oprE,,Anaerobically-induced outer membrane porin OprE precursor,Class 1,Porin E1,NP_248982.1 ; WP_003084265.1,1383,461,49.7,9.06,Outer Membrane [Class 1] ; Outer Membrane Vesicle [Class 1] ; Outer Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103321,PA0292,CDS,328801,329907,-,aguA,,agmatine deiminase,Class 1,agmatine iminohydrolase ; agmatine deiminase,NP_248983.1 ; WP_003104504.1,1107,369,41.2,4.59,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103323,PA0293,CDS,329993,330871,-,aguB,,N-carbamoylputrescine amidohydrolase,Class 1,N-carbamoylputrescine amidase,NP_248984.1 ; WP_003111119.1,879,293,32.8,5.92,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103325,PA0294,CDS,331034,331699,-,aguR,,transcriptional regulator AguR,Class 1,transcriptional regulator AguR,NP_248985.1 ; WP_003112936.1,666,222,24.4,6.4,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103327,PA0295,CDS,331762,332823,-,,,probable periplasmic polyamine binding protein,Class 3,,NP_248986.1 ; WP_003107781.1,1062,354,39,5.88,Periplasmic [Class 2] ; Periplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103329,PA0296,CDS,333079,334455,-,spuI,,Glutamylpolyamine synthetase,Class 1,Glutamylpolyamine synthetase ; pauA1,NP_248987.1 ; WP_003112937.1,1377,459,50.9,4.56,Cytoplasmic [Class 1] ; Cytoplasmic [Class 2] ; Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD15122503,PA0296.1,ncRNA,334549,334728,-,P1,,P1,,,,180,,,,
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103331,PA0297,CDS,334734,335486,+,spuA,ycjL,probable glutamine amidotransferase,Class 2,pauD1,NP_248988.1 ; WP_003112938.1,753,251,26.5,6.43,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103333,PA0298,CDS,335527,336885,+,spuB,,Glutamylpolyamine synthetase,Class 1,Glutamylpolyamine synthetase ; pauA2,NP_248989.1 ; WP_003084290.1,1359,453,51,5.01,Cytoplasmic [Class 2] ; Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103335,PA0299,CDS,336951,338321,+,spuC,,Polyamine:pyruvate transaminase,Class 2,Polyamine:pyruvate transaminase ; spuC,NP_248990.1 ; WP_003084297.1,1371,457,50.5,5.95,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103337,PA0300,CDS,338437,339540,+,spuD,potF2,polyamine transport protein,Class 1,,NP_248991.1 ; WP_003084299.1,1104,368,40.6,7.59,Periplasmic [Class 1] ; Periplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103339,PA0301,CDS,339959,341056,+,spuE,potF3,polyamine transport protein,Class 1,,NP_248992.1 ; WP_003084301.1,1098,366,40.1,5.47,Periplasmic [Class 1] ; Extracellular [Class 1] ; Periplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103341,PA0302,CDS,341111,342265,+,spuF,potG,polyamine transport protein PotG,Class 1,,NP_248993.1 ; WP_003084303.1,1155,385,42.8,6.44,Outer Membrane Vesicle [Class 1] ; Cytoplasmic Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103343,PA0303,CDS,342292,343173,+,spuG,potH,polyamine transport protein PotH,Class 1,,NP_248994.1 ; WP_003121722.1,882,294,32.4,4.92,Cytoplasmic Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103345,PA0304,CDS,343256,344125,+,spuH,potI,polyamine transport protein PotI,Class 1,,NP_248995.1 ; WP_003112939.1,870,290,31.9,9.67,Cytoplasmic Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103347,PA0305,CDS,344303,346690,-,hacB,,acylhomoserine lactone acylase B,Class 1,acylhomoserine lactone acylase B,NP_248996.1 ; WP_003112940.1,2388,796,87.5,5.68,Periplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103349,PA0306,CDS,346801,347853,+,,,probable transcriptional regulator,Class 3,,NP_248997.1 ; WP_003112941.1,1053,351,39.5,9.66,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD21174452,PA0306.1,CDS,347835,348473,-,,,Uncharacterized protein,Class 1,Uncharacterized protein,,639,213,24,9.27,Unknown (This protein may have multiple localization sites) [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103351,PA0307,CDS,348440,349051,-,,,hypothetical protein,Class 4,,NP_248998.1 ; WP_004352065.1,612,204,22,7.41,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103353,PA0308,CDS,349050,350069,+,,,hypothetical protein,Class 4,,NP_248999.1 ; WP_003118763.1,1020,340,38.2,6.8,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103355,PA0309,CDS,350089,350841,-,,,hypothetical protein,Class 4,,NP_249000.1 ; WP_003084320.1,753,251,27,7.64,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103357,PA0310,CDS,350890,351588,+,,,hypothetical protein,Class 4,,NP_249001.1 ; WP_003118764.1,699,233,26.3,6.43,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103359,PA0311,CDS,351610,352164,-,,,hypothetical protein,Class 4,,NP_249002.1 ; WP_003084327.1,555,185,19,4.65,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103361,PA0312,CDS,352430,352924,+,,,conserved hypothetical protein,Class 4,,NP_249003.1 ; WP_003112945.1,495,165,17.4,6.11,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103363,PA0313,CDS,352927,353619,-,,yecS,L-cysteine transporter of ABC system YecS,Class 3,L-cysteine transporter of ABC system YecS,NP_249004.1 ; WP_003084339.1,693,231,25,9.31,Cytoplasmic Membrane [Class 2] ; Cytoplasmic Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103365,PA0314,CDS,353691,354461,-,,fliY,L-cysteine transporter of ABC system FliY,Class 3,L-cysteine transporter of ABC system FliY,NP_249005.1 ; WP_003112946.1,771,257,28,9.65,Periplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103367,PA0315,CDS,354754,355191,+,,,hypothetical protein,Class 4,,NP_249006.1 ; WP_003084345.1,438,146,15.5,7.16,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103369,PA0316,CDS,355248,356477,-,serA,,PHGDH,Class 1,PHGDH ; D-3-phosphoglycerate dehydrogenase,NP_249007.1 ; WP_003112947.1,1230,410,44.2,6.52,Cytoplasmic [Class 2] ; Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103371,PA0317,CDS,356681,358075,+,,D2HGDH,D-2-hydroxyglutarate dehydrogenase,Class 1,D-2-hydroxyglutarate dehydrogenase ; hypothetical protein,NP_249008.1 ; WP_003112948.1,1395,465,51.3,4.88,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103373,PA0318,CDS,358167,358832,+,,hpcE,conserved hypothetical protein,Class 4,,NP_249009.1 ; WP_003110705.1,666,222,23.8,5.29,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103375,PA0319,CDS,358931,359920,+,,,hypothetical protein,Class 4,,NP_249010.1 ; WP_003121726.1,990,330,36.4,4.81,Cytoplasmic Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103377,PA0320,CDS,359982,360332,+,carO,ygiW,calcium-regulated OB-fold protein CarO,Class 1,YgiW ; calcium-regulated OB-fold protein CarO,NP_249011.1 ; WP_003084357.1,351,117,12.6,4.49,Unknown (This protein may have multiple localization sites) [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103379,PA0321,CDS,360413,361447,-,,,acetylpolyamine amidohydrolase,Class 1,acetylpolyamine amidohydrolase ; probable acetylpolyamine aminohydrolase,NP_249012.1 ; WP_003112950.1,1035,345,37.9,5.72,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103381,PA0322,CDS,361463,362857,-,,,probable transporter,Class 3,,NP_249013.1 ; WP_003112951.1,1395,465,49.1,9.62,Cytoplasmic Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103383,PA0323,CDS,363278,364321,-,,,probable binding protein component of ABC transporter,Class 3,,NP_249014.1 ; WP_003084365.1,1044,348,38.9,6.8,Periplasmic [Class 2] ; Periplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103385,PA0324,CDS,364369,365157,-,,,probable permease of ABC transporter,Class 3,,NP_249015.1 ; WP_003112952.1,789,263,28.7,10.38,Cytoplasmic Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103387,PA0325,CDS,365154,366083,-,,,probable permease of ABC transporter,Class 3,,NP_249016.1 ; WP_003112953.1,930,310,34.2,9.66,Cytoplasmic Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103389,PA0326,CDS,366080,367129,-,,,probable ATP-binding component of ABC transporter,Class 3,,NP_249017.1 ; WP_003112954.1,1050,350,37.9,6.64,Cytoplasmic Membrane [Class 2] ; Cytoplasmic Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103391,PA0327,CDS,367457,368422,+,carP,,calcium-regulated beta-propeller protein CarP,Class 1,calcium-regulated beta-propeller protein CarP ; hypothetical protein,NP_249018.1 ; WP_003118774.1,966,322,36.2,5.02,Cytoplasmic Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103393,PA0328,CDS,368462,370405,-,aaaA,,"arginine-specific autotransporter of Pseudomonas aeruginosa, AaaA",Class 1,"arginine-specific autotransporter of Pseudomonas aeruginosa, AaaA",NP_249019.1 ; WP_010895503.1,1944,648,70.3,4.59,Outer Membrane Vesicle [Class 1] ; Outer Membrane [Class 1] ; Outer Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103395,PA0329,CDS,370706,371038,-,,,conserved hypothetical protein,Class 4,,NP_249020.1 ; WP_003112957.1,333,111,11.8,9.91,Unknown [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103397,PA0330,CDS,371162,371833,-,rpiA,,ribose 5-phosphate isomerase,Class 2,phosphoriboisomerase ; ribose 5-phosphate epimerase,NP_249021.1 ; WP_003084386.1,672,224,23.7,5.32,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103399,PA0331,CDS,372091,373605,+,ilvA1,,"threonine dehydratase, biosynthetic",Class 2,threonine deaminase,NP_249022.1 ; WP_003110582.1,1515,505,55.4,6.47,Cytoplasmic [Class 1] ; Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103401,PA0332,CDS,373725,374192,+,,,hypothetical protein,Class 4,,NP_249023.1 ; WP_003112958.1,468,156,16.8,11.16,Cytoplasmic Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103403,PA0333,CDS,374243,375514,+,,,hypothetical protein,Class 4,,NP_249024.1 ; WP_003112959.1,1272,424,45.3,9.89,Cytoplasmic Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103405,PA0334,CDS,375951,377189,-,,,probable major facilitator superfamily (MFS) transporter,Class 3,probable MFS transporter,NP_249025.1 ; WP_003112960.1,1239,413,43.4,10.91,Cytoplasmic Membrane [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103407,PA0335,CDS,377239,377892,-,,,hypothetical protein,Class 4,,NP_249026.1 ; WP_003110585.1,654,218,24.4,4.52,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103409,PA0336,CDS,378096,378575,+,rppH,ygdP ; ygdP,"RNA pyrophosphohydrolase, RppH",Class 1,dinucleoside oligophosphate pyrophosphatase ; Nudix hydrolase YgdP ; Nudix hydrolase YgdP,NP_249027.1 ; WP_003084400.1,480,160,18.7,9.51,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103411,PA0337,CDS,378598,380877,+,ptsP,,phosphoenolpyruvate-protein phosphotransferase PtsP,Class 1,phosphotransferase system enzyme I,NP_249028.1 ; WP_003084404.1,2280,760,83.6,5.56,Cytoplasmic [Class 2] ; Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103413,PA0338,CDS,380903,382033,+,,,hypothetical protein,Class 4,,NP_249029.1 ; WP_003121736.1,1131,377,44,6.65,Cytoplasmic [Class 3]
19.1,GCF_000006765.1,chromosome,NC_002516.2,PGD103415,PA0339,CDS,382037,382792,-,,,hypothetical protein,Class 4,,NP_249030.1 ; WP_003112962.1,756,252,26.5,6.68,Unknown [Class 3]
